titulo,href,valoracion,duracion,dificultad,categorias,ingredientes,categoria_principal
Receta de pollo a la mostaza,/receta-860/pollo-a-la-mostaza,5,Entre 15 y 30 min.,Sencilla,['light'],"['Hamburguesa', 'Tomate', 'Pimienta negra', 'Salsa de Mostaza', 'Estragón', 'Aceite de oliva']",tradicionales
Receta de BOLAS DE QUESO para Thermomix ,/receta-1500/bolas-de-queso-para-thermomix,5,Entre 30 y 60 min.,Sencilla,"['light', 'veraniegas', 'para navidad', 'para fiestas', 'para niños', 'para Thermomix', 'mediterráneas', 'para tupper']","['Leche desnatada', 'Mantequilla', 'Sal', 'Harina', 'Huevo', 'Queso tronchón', 'Pimienta', 'Huevo', 'Queso rallado', 'Orégano']",
Receta de Infusión de Manzana y Canela,/receta-1077/infusion-de-manzana-y-canela,5,Entre 15 y 30 min.,Sencilla,"['light', 'vegetarianas', 'para navidad']","['Manzana', 'Canela en rama', 'Azúcar moreno', 'Hielo']",veraniegas
Receta de Setas en salsa de vino tinto,/receta-1225/setas-en-salsa-de-vino-tinto,5,Entre 15 y 30 min.,Sencilla,"['light', 'vegetarianas', 'mediterráneas']","['Seta', 'Vino tinto', 'Perejil', 'Cebolla', 'Ajo', 'Cayena', 'Aceituna', 'Sal']",veraniegas
Receta de gazpacho,/receta-969/gazpacho,5,Menos de 15 min.,Sencilla,"['light', 'vegetarianas', 'veraniegas', 'tradicionales', 'para fiestas', 'para niños', 'mediterráneas', 'para tupper']","['Tomate', 'Pepino', 'Ajo', 'Pimiento verde', 'Pimiento rojo', 'Pan', 'Cebolla', 'Sal', 'Aceite de oliva', 'Vinagre']",veraniegas
Receta de arroz con leche de coco y frutos rojos,/receta-864/arroz-con-leche-de-coco-y-frutos-rojos,5,Entre 30 y 60 min.,Sencilla,"['light', 'vegetarianas', 'exóticas', 'veraniegas', 'afrodisíacas', 'para fiestas', 'para niños', 'norte de Europa', 'mediterráneas', 'para tupper']","['Arroz redondo', 'Leche de coco', 'Azúcar blanco', 'Agua de azahar', 'Frutos rojos']",veraniegas
Receta de sandwich de crema de huevo,/receta-971/sandwich-de-crema-de-huevo,5,Menos de 15 min.,Sencilla,"['light', 'vegetarianas', 'exóticas', 'veraniegas', 'minimalistas', 'afrodisíacas', 'para niños', 'norte de Europa', 'mediterráneas', 'para tupper']","['Mayonesa', 'Salsa de Mostaza', 'Vinagre', 'Pan de molde', 'Lechuga', 'Tomate', 'Huevo', 'Mantequilla']",veraniegas
Receta de salsa de yogurt,/receta-837/salsa-de-yogurt,5,Menos de 15 min.,Sencilla,"['light', 'vegetarianas', 'exóticas', 'veraniegas', 'para fiestas', 'mediterráneas', 'para tupper']","['Aceite de oliva', 'Ajo', 'Yogur griego natural', 'Queso para untar', 'Albahaca', 'Limón']",invernales
Receta de Sandwich de lomo adobado,/receta-889/sandwich-de-lomo-adobado,5,Menos de 15 min.,Sencilla,"['light', 'veraniegas', 'minimalistas', 'tradicionales', 'para fiestas', 'mediterráneas']","['Lomo de cerdo', 'Cebolla', 'Tomate', 'Lechuga', 'Huevo', 'Pan de molde', 'Mayonesa']",light
Receta de Sardinitas Morunas,/receta-1061/sardinitas-morunas,5,Entre 15 y 30 min.,Sencilla,"['light', 'tradicionales', 'para microondas', 'mediterráneas']","['Sardina', 'Ajo', 'Cebolla', 'Pimiento', 'Tomate', 'Aceite de oliva', 'Orégano', 'Azúcar blanco']",tradicionales
Receta de Champiñones al ajillo con hígado a la plancha,/receta-936/champinones-al-ajillo-con-higado-a-la-plancha,5,Menos de 15 min.,Sencilla,"['light', 'minimalistas', 'tradicionales']","['Champiñón', 'Ajo', 'Aceite de oliva', 'Limón']",
Receta de Ensalada marina,/receta-845/ensalada-marina,5,Entre 15 y 30 min.,Sencilla,"['light', 'veraniegas', 'mediterráneas']","['Atún fresco', 'Gamba', 'Perejil', 'Ajo', 'Cangrejo', 'Aceituna', 'Lechuga iceberg', 'Tomate', 'Alga Nori', 'Pimienta']",vegetarianas
Receta de Huevos con patatas y judías,/receta-891/huevos-con-patatas-y-judias,5,Entre 15 y 30 min.,Sencilla,"['light', 'vegetarianas', 'minimalistas', 'tradicionales']","['Huevo', 'Patata', 'Judía', 'Aceite de oliva', 'Vinagre', 'Sal', 'Cebolla']",tradicionales
Receta de galletas de inca o quelitas,/receta-852/galletas-de-inca-o-quelitas,5,Entre 30 y 60 min.,Media,"['light', 'vegetarianas', 'tradicionales', 'para niños', 'mediterráneas']","['Harina', 'Agua', 'Aceite de oliva', 'Levadura fresca', 'Sal', 'Huevo']",tradicionales
Receta de Arroz Pilaf,/receta-1758/arroz-pilaf,5,Entre 15 y 30 min.,Sencilla,"['light', 'asiáticas']","['Arroz', 'Caldo de ave', 'Sal', 'Pimienta', 'Cebolla', 'Ajo', 'Laurel', 'Aceite']",exóticas
Receta de Arroz con Brócoli y pasas,/receta-1065/arroz-con-brocoli-y-pasas,5,Entre 15 y 30 min.,Sencilla,"['light', 'vegetarianas', 'veraniegas', 'invernales', 'afrodisíacas', 'mediterráneas', 'para tupper']","['Arroz Basmati', 'Brécol', 'Pasa', 'Guisante verde', 'Cebolla', 'Mango', 'Azafrán', 'Limón', 'Curry', 'Aceite de oliva', 'Mango']",veraniegas
Receta de Huevo a la plancha con guarnición,/receta-892/huevo-a-la-plancha-con-guarnicion,5,Entre 15 y 30 min.,Sencilla,"['light', 'minimalistas', 'para niños', 'mediterráneas']","['Patata', 'Guisante verde', 'Jamón cocido', 'Huevo', 'Aceite de oliva', 'Sal', 'Pimiento', 'Cebolla']",veraniegas
Receta de Zamburiñas a la plancha,/receta-1181/zamburinas-a-la-plancha,5,Menos de 15 min.,Sencilla,"['light', 'invernales', 'minimalistas', 'afrodisíacas', 'tradicionales', 'mediterráneas']","['Zamburiña', 'Aceite de oliva', 'Ajo', 'Sal']",veraniegas
Receta de Atún guisado con verduritas,/receta-691/atun-guisado-con-verduritas,5,Entre 15 y 30 min.,Sencilla,"['light', 'tradicionales']","['Verduras variadas congeladas', 'Atún fresco', 'Harina', 'Aceite de oliva', 'Sal', 'Cebolla', 'Vino blanco']",tradicionales
Receta de tarta ligera de queso,/receta-854/tarta-ligera-de-queso,5,Menos de 15 min.,Sencilla,"['light', 'veraniegas', 'afrodisíacas', 'para fiestas', 'para microondas']","['Queso para untar', 'Huevo', 'Leche desnatada', 'Azúcar blanco', 'Naranja', 'Fruta']",exóticas
Receta de Crema de coliflor,/receta-1066/crema-de-coliflor,5,Entre 15 y 30 min.,Sencilla,"['light', 'vegetarianas', 'invernales', 'mediterráneas']","['Coliflor', 'Patata', 'Cebolla', 'Queso en loncha', 'Leche', 'Sal']",tradicionales
Receta de triflé rápido de frambuesas y vainilla,/receta-1110/trifle-rapido-de-frambuesas-y-vainilla,5,Menos de 15 min.,Sencilla,"['light', 'exóticas', 'minimalistas', 'afrodisíacas', 'para fiestas', 'para niños', 'norte de Europa', 'mediterráneas', 'americanas']","['Frambuesa', 'Vainilla', 'Yogur natural', 'Esencia de vainilla', 'Azúcar blanco', 'Queso para untar']",minimalistas
Receta de Fruta: 150 g de mandarinas,/receta-1274/fruta-g-de-mandarinas,5,Menos de 15 min.,Sencilla,"['light', 'mediterráneas']",['Mandarina'],exóticas
Receta de copitas express de frambuesa y coco,/receta-1000/copitas-express-de-frambuesa-y-coco,5,Menos de 15 min.,Sencilla,"['light', 'vegetarianas', 'exóticas', 'veraniegas', 'minimalistas', 'afrodisíacas', 'para fiestas', 'para niños', 'asiáticas', 'mediterráneas', 'para celíacos']","['_descripcion', 'Frambuesa', 'Azúcar blanco', '_descripcion', 'Leche de coco', 'Azúcar blanco', 'Gelatina', 'Agua']",tradicionales
Receta de Trampó mallorquín,/receta-913/trampo-mallorquin,5,Menos de 15 min.,Sencilla,"['light', 'vegetarianas', 'veraniegas', 'tradicionales', 'para fiestas', 'mediterráneas', 'para tupper']","['Pimiento', 'Cebolla', 'Tomate', 'Atún en aceite en lata', 'Aceite de oliva', 'Perejil']",
Receta de pasta  en salsa vera,/receta-827/pasta-en-salsa-vera,5,Menos de 15 min.,Sencilla,"['light', 'exóticas', 'para niños', 'mediterráneas', 'americanas', 'para tupper']","['Carne de vacuno picada', 'Pasta alimenticia', 'Puerro', 'Pistacho', 'Salsa de Mostaza', 'Aceite de oliva', 'Albahaca', 'Sal', 'Cerveza']",
Receta de compota de ciruelas con queso fresco,/receta-1003/compota-de-ciruelas-con-queso-fresco,5,Entre 15 y 30 min.,Sencilla,"['light', 'vegetarianas', 'exóticas', 'veraniegas', 'minimalistas', 'tradicionales', 'para niños', 'norte de Europa', 'asiáticas', 'mediterráneas', 'americanas', 'para celíacos', 'para tupper']","['Ciruela', 'Azúcar moreno', 'Queso fresco', 'Canela en polvo']",
Receta de ensalada de arroz,/receta-886/ensalada-de-arroz,5,Entre 15 y 30 min.,Sencilla,"['light', 'exóticas', 'veraniegas', 'para tupper']","['Aceituna negra', 'Maíz dulce', 'Anchoa', 'Huevo', 'Aceite de oliva', 'Vinagre', 'Sal', 'Ajo', 'Puerro', 'Arroz', 'Sucedáneo de cangrejo', 'Zanahoria']",
Receta de sandwich de crema de huevo,/receta-971/sandwich-de-crema-de-huevo,5,Menos de 15 min.,Sencilla,"['light', 'vegetarianas', 'exóticas', 'veraniegas', 'minimalistas', 'afrodisíacas', 'para niños', 'norte de Europa', 'mediterráneas', 'para tupper']","['Mayonesa', 'Salsa de Mostaza', 'Vinagre', 'Pan de molde', 'Lechuga', 'Tomate', 'Huevo', 'Mantequilla']",light
Receta de Arroz Pilaf,/receta-1758/arroz-pilaf,5,Entre 15 y 30 min.,Sencilla,"['light', 'asiáticas']","['Arroz', 'Caldo de ave', 'Sal', 'Pimienta', 'Cebolla', 'Ajo', 'Laurel', 'Aceite']",
Receta de espárragos a la plancha con salsa,/receta-866/esparragos-a-la-plancha-con-salsa,5,Menos de 15 min.,Sencilla,"['light', 'veraniegas', 'minimalistas', 'tradicionales', 'mediterráneas']","['Espárrago', 'Requesón', 'Atún en aceite en lata', 'Aceite de oliva', 'Huevo', 'Sal']",
Receta de Merluza en salsa verde,/receta-1095/merluza-en-salsa-verde,5,Entre 15 y 30 min.,Sencilla,"['light', 'mediterráneas']","['Rosada', 'Agua', 'Vino blanco', 'Perejil', 'Harina', 'Ajo', 'Aceite de oliva', 'Sal']",
Receta de atún al limón,/receta-485/atun-al-limon,5,Entre 15 y 30 min.,Sencilla,"['light', 'minimalistas', 'para fiestas']","['Atún fresco', 'Ajo', 'Aceite de oliva', 'Sal', 'Limón']",
Receta de salmón a la plancha con pasta y salsa de yogur,/receta-867/salmon-a-la-plancha-con-pasta-y-salsa-de-yogur,5,Entre 15 y 30 min.,Sencilla,"['light', 'minimalistas', 'tradicionales', 'para tupper']","['Salmón', 'Pasta alimenticia', 'Yogur natural', 'Aceite de oliva', 'Limón', 'Sal', 'Albahaca']",
Receta de Merluza a la romana con ensalada de pasta,/receta-906/merluza-a-la-romana-con-ensalada-de-pasta,5,Entre 15 y 30 min.,Sencilla,"['light', 'tradicionales', 'para tupper']","['Pasta de espirales de colores', 'Tomate para ensalada', 'Aceite de oliva', 'Limón', 'Sal', 'Merluza', 'Pan rallado', 'Harina', 'Huevo', 'Pimienta']",vegetarianas
Receta de BOLAS DE QUESO para Thermomix ,/receta-1500/bolas-de-queso-para-thermomix,5,Entre 30 y 60 min.,Sencilla,"['light', 'veraniegas', 'para navidad', 'para fiestas', 'para niños', 'para Thermomix', 'mediterráneas', 'para tupper']","['Leche desnatada', 'Mantequilla', 'Sal', 'Harina', 'Huevo', 'Queso tronchón', 'Pimienta', 'Huevo', 'Queso rallado', 'Orégano']",veraniegas
Receta de Patatas rellenas de requesón,/receta-921/patatas-rellenas-de-requeson,5,Entre 30 y 60 min.,Sencilla,"['light', 'vegetarianas', 'minimalistas', 'para fiestas']","['Patata', 'Requesón', 'Sal', 'Cebolla', 'Aceite de oliva', 'Albahaca', 'Queso rallado']",tradicionales
Receta de pasta  en salsa vera,/receta-827/pasta-en-salsa-vera,5,Menos de 15 min.,Sencilla,"['light', 'exóticas', 'para niños', 'mediterráneas', 'americanas', 'para tupper']","['Carne de vacuno picada', 'Pasta alimenticia', 'Puerro', 'Pistacho', 'Salsa de Mostaza', 'Aceite de oliva', 'Albahaca', 'Sal', 'Cerveza']",vegetarianas
Receta de compota de ciruelas con queso fresco,/receta-1003/compota-de-ciruelas-con-queso-fresco,5,Entre 15 y 30 min.,Sencilla,"['light', 'vegetarianas', 'exóticas', 'veraniegas', 'minimalistas', 'tradicionales', 'para niños', 'norte de Europa', 'asiáticas', 'mediterráneas', 'americanas', 'para celíacos', 'para tupper']","['Ciruela', 'Azúcar moreno', 'Queso fresco', 'Canela en polvo']",
Receta de salpicón,/receta-71/salpicon,5,Entre 30 y 60 min.,Sencilla,"['light', 'exóticas', 'veraniegas', 'tradicionales', 'norte de Europa', 'para tupper']","['Cebolla', 'Huevo', 'Vinagre', 'Aceite de oliva', 'Sal', 'Merluza', 'Sucedáneo de cangrejo', 'Ajo']",
Receta de Sushi falso de crepes,/receta-19/sushi-falso-de-crepes,5,Entre 15 y 30 min.,Sencilla,"['light', 'vegetarianas', 'para fiestas', 'asiáticas']","['Harina blanca', 'Huevo', 'Leche', 'Mantequilla', 'Cebolleta', 'Queso para untar', 'Nuez', 'Pistacho', 'Aceite de oliva', 'Salsa de soja']",vegetarianas
Receta de pudin de salmón,/receta-145/pudin-de-salmon,5,Entre 15 y 30 min.,Media,"['light', 'para microondas', 'para tupper']","['Puerro', 'Salmón', 'Huevo', 'Sal', 'Pimienta', 'Leche', 'Aceite de oliva']",
Receta de dulce frío de pera y azahar,/receta-37/dulce-frio-de-pera-y-azahar,5,Entre 15 y 30 min.,Sencilla,"['light', 'exóticas', 'minimalistas', 'afrodisíacas', 'tradicionales', 'para niños', 'africanas', 'mediterráneas']","['Pera', 'Azúcar blanco', 'Agua de azahar', 'Naranja']",
Receta de arroz aromático con chipirones,/receta-358/arroz-aromatico-con-chipirones,5,Entre 15 y 30 min.,Media,"['light', 'asiáticas', 'mediterráneas']","['Chipirón', 'Harina', 'Sal', 'Aceite de oliva', 'Arroz salvaje', 'Cebolla', 'Laurel', 'Ajo', 'Jengibre']",
Receta de plumas a los tres quesos (o carbonara ligera),/receta-93/plumas-a-los-tres-quesos-o-carbonara-ligera,5,Entre 30 y 60 min.,Sencilla,"['light', 'tradicionales', 'para niños', 'mediterráneas', 'para tupper']","['Macarrón', 'Aceite de oliva', 'Cubito de caldo', 'Albahaca', 'Queso para untar', 'Leche', 'Queso Parmesano', 'Queso en loncha', 'Bacón']",
Receta de pollo en leche de coco,/receta-266/pollo-en-leche-de-coco,5,Entre 30 y 60 min.,Media,"['light', 'exóticas', 'afrodisíacas', 'para fiestas', 'asiáticas']","['Pechuga de pollo', 'Limón', 'Sal', 'Pimienta', 'Jengibre', 'Cebolla', 'Ajo', 'Aceite de oliva', 'Tomate', 'Leche de coco']",
Receta de cazuela de mar al estragón,/receta-287/cazuela-de-mar-al-estragon,5,Entre 30 y 60 min.,Media,['light'],"['Gamba', 'Merluza', 'Aceite', 'Sal', 'Cebolla', 'Vino blanco', 'Guisante verde', 'Estragón']",para fiestas
Receta de falsa carbonara de verduras al wok,/receta-855/falsa-carbonara-de-verduras-al-wok,5,Menos de 15 min.,Sencilla,"['light', 'vegetarianas', 'para tupper']","['Brécol', 'Zanahoria', 'Pasta alimenticia', 'Queso para untar', 'Pimienta', 'Puerro']",tradicionales
Receta de Ensalada de garbanzos,/receta-899/ensalada-de-garbanzos,5,Menos de 15 min.,Sencilla,"['light', 'vegetarianas', 'veraniegas', 'para fiestas', 'mediterráneas', 'para tupper']","['Garbanzos', 'Tomate', 'Atún en aceite en lata', 'Cebolla', 'Aceituna', 'Huevo', 'Perejil', 'Pimiento verde']",
Receta de frittata de tomate y queso con albahaca,/receta-902/frittata-de-tomate-y-queso-con-albahaca,5,Menos de 15 min.,Sencilla,"['vegetarianas', 'minimalistas', 'para fiestas', 'para niños', 'mediterráneas']","['Huevo', 'Puerro', 'Tomate', 'Queso de Cabra', 'Queso de Cabra', 'Aceite de oliva', 'Sal', 'Albahaca']",light
Receta de compota de ciruelas con queso fresco,/receta-1003/compota-de-ciruelas-con-queso-fresco,5,Entre 15 y 30 min.,Sencilla,"['light', 'vegetarianas', 'exóticas', 'veraniegas', 'minimalistas', 'tradicionales', 'para niños', 'norte de Europa', 'asiáticas', 'mediterráneas', 'americanas', 'para celíacos', 'para tupper']","['Ciruela', 'Azúcar moreno', 'Queso fresco', 'Canela en polvo']",tradicionales
Receta de risotto shiitake a los tres quesos,/receta-842/risotto-shiitake-a-los-tres-quesos,5,Entre 15 y 30 min.,Sencilla,"['vegetarianas', 'exóticas']","['Seta shiitake', 'Arroz', 'Queso Parmesano', 'Queso para untar', 'Queso Roquefort', 'Aceite de oliva', 'Cebolla']",light
Receta de Mermelada de Pimientos Rojos,/receta-1131/mermelada-de-pimientos-rojos,5,Entre 15 y 30 min.,Sencilla,"['vegetarianas', 'para navidad', 'para fiestas', 'para carnaval', 'mediterráneas']","['Pimiento rojo', 'Azúcar blanco', 'Agua', 'Zumo de limón']",veraniegas
Receta de Escalivada ,/receta-1016/escalivada,5,Entre 30 y 60 min.,Sencilla,"['vegetarianas', 'veraniegas', 'mediterráneas', 'para tupper']","['Pimiento', 'Berenjena', 'Cebolla', 'Vinagre']",vegetarianas
Receta de Crujiente de espinacas,/receta-910/crujiente-de-espinacas,5,Menos de 15 min.,Sencilla,"['vegetarianas', 'minimalistas', 'para niños', 'mediterráneas']","['Aceite de girasol', 'Espinaca', 'Sal']",light
Receta de patatas con mojo pincón,/receta-1041/patatas-con-mojo-pincon,5,Entre 15 y 30 min.,Sencilla,"['vegetarianas', 'veraniegas', 'invernales', 'mediterráneas']","['Patata', 'Sal', 'Agua', 'Ajo', 'Sal', 'Comino', 'Aceite de oliva', 'Agua']",
Receta de sandwich de crema de huevo,/receta-971/sandwich-de-crema-de-huevo,5,Menos de 15 min.,Sencilla,"['light', 'vegetarianas', 'exóticas', 'veraniegas', 'minimalistas', 'afrodisíacas', 'para niños', 'norte de Europa', 'mediterráneas', 'para tupper']","['Mayonesa', 'Salsa de Mostaza', 'Vinagre', 'Pan de molde', 'Lechuga', 'Tomate', 'Huevo', 'Mantequilla']",light
Receta de Saltavallao,/receta-787/saltavallao,5,Entre 30 y 60 min.,Sencilla,"['vegetarianas', 'invernales', 'tradicionales', 'para fiestas']","['Aceite de oliva', 'Ajo', 'Cebolla', 'Pimiento verde', 'Tomate', 'Tomillo', 'Caldo de ave', 'Centeno', 'Centeno', 'Huevo']",light
Receta de ensalada de melocotón,/receta-990/ensalada-de-melocoton,5,Menos de 15 min.,Sencilla,"['light', 'vegetarianas', 'exóticas', 'veraniegas', 'minimalistas', 'afrodisíacas', 'para niños']","['Melocotón', 'Queso fresco', 'Miel', 'Coco rallado']",light
Receta de láminas de berenjena con queso semicurado montesinos,/receta-1546/laminas-de-berenjena-con-queso-semicurado-montesinos,5,Entre 15 y 30 min.,Media,['vegetarianas'],"['Berenjena', 'Tomate', 'Cebolla', 'Queso semicurado', 'Sal', 'Orégano', 'Aceite de oliva']",exóticas
Receta de ALBORONÍA o BORONÍAS,/receta-1111/alboronia-o-boronias,5,Entre 15 y 30 min.,Media,"['vegetarianas', 'veraniegas', 'invernales']","['Calabaza', 'Garbanzos', 'Tomate', 'Pimiento rojo', 'Pimiento verde', 'Cebolla', 'Ajo', 'Laurel', 'Pimentón dulce', 'Comino', 'Aceite de oliva', 'Pimienta']",light
Receta de Arroz con verduras,/receta-900/arroz-con-verduras,5,Entre 15 y 30 min.,Sencilla,"['light', 'vegetarianas', 'mediterráneas', 'para tupper']","['Calabacín', 'Puerro', 'Zanahoria', 'Brécol', 'Pimiento rojo', 'Arroz', 'Caldo de verdura', 'Aceite de oliva', 'Cúrcuma', 'Ajo']",mediterráneas
Receta de Croquetas de espinacas y tofu,/receta-901/croquetas-de-espinacas-y-tofu,5,Entre 15 y 30 min.,Sencilla,['vegetarianas'],"['Espinaca', 'Salsa bechamel', 'Tofu', 'Aceite de oliva', 'Sal', 'Ajo', 'Pan rallado', 'Harina', 'Harina', 'Huevo']",vegetarianas
Receta de Infusión de Manzana y Canela,/receta-1077/infusion-de-manzana-y-canela,5,Entre 15 y 30 min.,Sencilla,"['light', 'vegetarianas', 'para navidad']","['Manzana', 'Canela en rama', 'Azúcar moreno', 'Hielo']",tradicionales
Receta de Melón con helado de limón,/receta-950/melon-con-helado-de-limon,5,Menos de 15 min.,Sencilla,"['light', 'vegetarianas', 'veraniegas', 'minimalistas', 'para niños']","['Melón', 'Helado de limón']",
Receta de Macarrones gratinados,/receta-755/macarrones-gratinados,5,Entre 30 y 60 min.,Media,"['vegetarianas', 'minimalistas', 'para niños', 'americanas', 'para tupper']","['Macarrón', 'Leche', 'Harina', 'Queso Gouda', 'Queso Emmental', 'Queso Parmesano']",veraniegas
Receta de Champiñones con patatas,/receta-1087/champinones-con-patatas,5,Entre 15 y 30 min.,Media,"['vegetarianas', 'tradicionales', 'mediterráneas']","['Champiñón', 'Patata', 'Aceite de oliva', 'Bacón', 'Caldo de verdura', 'Vino blanco', 'Sal', 'Perejil']",veraniegas
Receta de Huevos con patatas y judías,/receta-891/huevos-con-patatas-y-judias,5,Entre 15 y 30 min.,Sencilla,"['light', 'vegetarianas', 'minimalistas', 'tradicionales']","['Huevo', 'Patata', 'Judía', 'Aceite de oliva', 'Vinagre', 'Sal', 'Cebolla']",veraniegas
Receta de croquetas de mocaccino,/receta-960/croquetas-de-mocaccino,5,Entre 30 y 60 min.,Media,"['vegetarianas', 'tradicionales', 'para fiestas', 'norte de Europa', 'mediterráneas', 'para tupper']","['Café', 'Leche', 'Azúcar blanco', 'Cacao en polvo', 'Harina fina de maíz', 'Harina', 'Huevo', 'Pan rallado', 'Azúcar blanco', 'Canela en polvo', 'Aceite de girasol', 'Mantequilla']",veraniegas
Receta de gazpacho,/receta-969/gazpacho,5,Menos de 15 min.,Sencilla,"['light', 'vegetarianas', 'veraniegas', 'tradicionales', 'para fiestas', 'para niños', 'mediterráneas', 'para tupper']","['Tomate', 'Pepino', 'Ajo', 'Pimiento verde', 'Pimiento rojo', 'Pan', 'Cebolla', 'Sal', 'Aceite de oliva', 'Vinagre']",veraniegas
Receta de pudin de magdalenas al microondas,/receta-244/pudin-de-magdalenas-al-microondas,5,Menos de 15 min.,Sencilla,"['vegetarianas', 'minimalistas', 'para fiestas', 'para niños', 'para microondas', 'para tupper']","['Magdalena', 'Leche', 'Huevo', 'Azúcar blanco', 'Caramelo líquido']",invernales
Receta de Tumbet mallorquín,/receta-947/tumbet-mallorquin,5,Entre 30 y 60 min.,Media,"['vegetarianas', 'tradicionales', 'mediterráneas', 'para tupper']","['Calabacín', 'Berenjena', 'Pimiento rojo', 'Salsa de tomate frito', 'Patata', 'Ajo', 'Pimienta']",light
Receta de croquetas de huevo,/receta-482/croquetas-de-huevo,5,Entre 30 y 60 min.,Media,"['vegetarianas', 'tradicionales', 'para fiestas', 'para niños', 'mediterráneas', 'para tupper']","['Huevo', 'Leche', 'Harina', 'Aceite de oliva', 'Sal', 'Nuez moscada', 'Cebolla', 'Cubito de caldo', 'Harina', 'Pan rallado']",tradicionales
Receta de Ngnocchis para celiacos y alérgicos (ñoquis) por Daniela2m,/receta-1471/ngnocchis-para-celiacos-y-alergicos-noquis-por-danielam,5,Entre 30 y 60 min.,Media,"['vegetarianas', 'para celíacos']","['Harina', 'Patata', 'Sal', 'Nuez moscada']",
Receta de Melón con helado de limón,/receta-950/melon-con-helado-de-limon,5,Menos de 15 min.,Sencilla,"['light', 'vegetarianas', 'veraniegas', 'minimalistas', 'para niños']","['Melón', 'Helado de limón']",vegetarianas
Receta de Macarrones gratinados,/receta-755/macarrones-gratinados,5,Entre 30 y 60 min.,Media,"['vegetarianas', 'minimalistas', 'para niños', 'americanas', 'para tupper']","['Macarrón', 'Leche', 'Harina', 'Queso Gouda', 'Queso Emmental', 'Queso Parmesano']",tradicionales
Receta de Infusión de Manzana y Canela,/receta-1077/infusion-de-manzana-y-canela,5,Entre 15 y 30 min.,Sencilla,"['light', 'vegetarianas', 'para navidad']","['Manzana', 'Canela en rama', 'Azúcar moreno', 'Hielo']",tradicionales
Receta de Ngnocchis para celiacos y alérgicos (ñoquis) por Daniela2m,/receta-1471/ngnocchis-para-celiacos-y-alergicos-noquis-por-danielam,5,Entre 30 y 60 min.,Media,"['vegetarianas', 'para celíacos']","['Harina', 'Patata', 'Sal', 'Nuez moscada']",exóticas
Receta de Plátano macho frito,/receta-1590/platano-macho-frito,5,Menos de 15 min.,Sencilla,"['vegetarianas', 'veraniegas', 'invernales', 'para halloween', 'para navidad', 'para fiestas', 'para niños', 'para carnaval']","['Plátano', 'Aceite de oliva', 'Sal']",veraniegas
Receta de Crujiente de espinacas,/receta-910/crujiente-de-espinacas,5,Menos de 15 min.,Sencilla,"['vegetarianas', 'minimalistas', 'para niños', 'mediterráneas']","['Aceite de girasol', 'Espinaca', 'Sal']",veraniegas
Receta de patatas con mojo pincón,/receta-1041/patatas-con-mojo-pincon,5,Entre 15 y 30 min.,Sencilla,"['vegetarianas', 'veraniegas', 'invernales', 'mediterráneas']","['Patata', 'Sal', 'Agua', 'Ajo', 'Sal', 'Comino', 'Aceite de oliva', 'Agua']",veraniegas
Receta de galletas de inca o quelitas,/receta-852/galletas-de-inca-o-quelitas,5,Entre 30 y 60 min.,Media,"['light', 'vegetarianas', 'tradicionales', 'para niños', 'mediterráneas']","['Harina', 'Agua', 'Aceite de oliva', 'Levadura fresca', 'Sal', 'Huevo']",tradicionales
Receta de Castañas al microondas,/receta-1597/castanas-al-microondas,5,Menos de 15 min.,Sencilla,"['vegetarianas', 'invernales', 'afrodisíacas', 'tradicionales', 'para halloween', 'para navidad', 'para fiestas', 'para niños', 'para microondas']",['Castaña'],exóticas
Receta de Trampó mallorquín,/receta-913/trampo-mallorquin,5,Menos de 15 min.,Sencilla,"['light', 'vegetarianas', 'veraniegas', 'tradicionales', 'para fiestas', 'mediterráneas', 'para tupper']","['Pimiento', 'Cebolla', 'Tomate', 'Atún en aceite en lata', 'Aceite de oliva', 'Perejil']",tradicionales
Receta de Patatas rellenas de requesón,/receta-921/patatas-rellenas-de-requeson,5,Entre 30 y 60 min.,Sencilla,"['light', 'vegetarianas', 'minimalistas', 'para fiestas']","['Patata', 'Requesón', 'Sal', 'Cebolla', 'Aceite de oliva', 'Albahaca', 'Queso rallado']",minimalistas
Receta de Pan rústico,/receta-1051/pan-rustico,5,Entre 1 y 2 horas,Media,"['vegetarianas', 'veraniegas', 'invernales', 'mediterráneas']","['Harina integral', 'Harina de fuerza', 'Levadura', 'Agua', 'Sal']",exóticas
Receta de arroz con leche de coco y frutos rojos,/receta-864/arroz-con-leche-de-coco-y-frutos-rojos,5,Entre 30 y 60 min.,Sencilla,"['light', 'vegetarianas', 'exóticas', 'veraniegas', 'afrodisíacas', 'para fiestas', 'para niños', 'norte de Europa', 'mediterráneas', 'para tupper']","['Arroz redondo', 'Leche de coco', 'Azúcar blanco', 'Agua de azahar', 'Frutos rojos']",tradicionales
Receta de Setas en salsa de vino tinto,/receta-1225/setas-en-salsa-de-vino-tinto,5,Entre 15 y 30 min.,Sencilla,"['light', 'vegetarianas', 'mediterráneas']","['Seta', 'Vino tinto', 'Perejil', 'Cebolla', 'Ajo', 'Cayena', 'Aceituna', 'Sal']",
